 ==================== ALOHA result file ====================
 \t\t S \t\t RZheg \t\t K_cpl 
 ( 1.81403036578486887E-004, 3.81701360704022664E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 7.19749222351447635E-006,-1.47942439372034207E-006)
 (-1.36135694494152952E-004,-5.63492689138955582E-005) (  0.0000000000000000     ,  0.0000000000000000     ) ( 5.35177590167476517E-007, 4.63836121334098501E-007)
 ( 2.29127770419717717E-004,-5.76849212182655824E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.65041523885898610E-005,-2.63451353357582583E-005)
 ( 3.68714786854762954E-004, 4.80799046440456206E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.77764144336572186E-006,-6.02877682232129291E-006)
 ( 1.38081286056520453E-004,-2.34331158613860276E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 8.45706937500109719E-007, 8.94044328377263188E-007)
 ( 1.04498523712613913E-004,-3.57671813825363272E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.52633843158845202E-005,-1.15428039227915128E-006)
 ( 3.89782980033042976E-004, 3.44605003990847147E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.33153071457660466E-006,-6.70773969990974247E-006)
 ( 4.48070116267319243E-004, 4.79573484520858884E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-9.79496219729731006E-007, 3.18653369015333999E-007)
 (-2.46988200667307492E-004,-3.82446839134812679E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.46413868946036992E-005, 2.18907905533532513E-005)
 ( 8.27511814625894423E-005, 1.33357142331506326E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-5.21504567501298060E-006,-4.27576687789233038E-006)
 ( 1.11308510370963562E-004, 9.57997569158301662E-005) (  0.0000000000000000     ,  0.0000000000000000     ) (-6.16302573050178837E-008,-4.40707394680262540E-007)
 (-3.99626794760764726E-004, 6.69927270607625783E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.98064919298562028E-006, 2.83310836858897070E-005)
 (-1.11326243213875320E-004,-2.36964335803919925E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-5.69164493208083807E-006,-1.95584312886583066E-007)
 (-5.88761511415268827E-005, 1.06459578805269371E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.00523715397916034E-007,-2.79857255827165221E-007)
 (-3.67809033014145754E-004,-2.10885000139876647E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.92606890563786959E-005, 2.35918515257712731E-005)
 ( 2.13348991738694508E-004,-3.12341370302559805E-006) (  0.0000000000000000     ,  0.0000000000000000     ) (-5.32025005654545259E-006, 4.28861928009051517E-006)
 ( 6.20197671386425443E-005,-3.27092789756250975E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.30619244695750059E-008,-3.60082716251151964E-008)
 (-4.49789098065619437E-006,-9.78393439783158928E-005) (  0.0000000000000000     ,  0.0000000000000000     ) ( 2.79229369245709074E-005, 3.79640111743603637E-006)
 (-1.06283262681733487E-004, 3.58841383501301721E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-7.05182834936297331E-007, 5.50819346780739029E-006)
 ( 1.36770278196643219E-004, 5.26011003350159101E-006) (  0.0000000000000000     ,  0.0000000000000000     ) (-6.79349742515000395E-007, 1.36220247246062615E-008)
 ( 5.62138806101680419E-004, 9.13073337289579002E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.81003850937512153E-005,-1.71629263676459457E-005)
 (-2.54364312214591399E-004,-1.83961861710183605E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 4.38744857157517669E-006, 3.77772460288686080E-006)
 (-1.31479363183355496E-003, 1.08202348821748217E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.88467476698110036E-007,-3.99907245425492112E-006)
 (-4.63111798163048558E-005,-4.27639040450437057E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.79595296703625546E-006,-2.59846103359063711E-005)
 ( 9.67202005386998722E-005,-2.49489695488526561E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 5.15649060531682018E-006, 4.59228458313620336E-007)
 ( 1.57779394233337363E-004,-3.81529418732589048E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.81527325290883815E-007, 9.49369957945424122E-007)
